m,n,time to complete ms
6,6,2624.8507999999997
6,6,9813.918
6,6,6262.0323
6,6,264.8126
6,6,4462.986900000001
6,6,501.0947
6,6,7289.918
6,6,10572.2336
6,6,20.954900000000002
6,6,9971.561099999999
6,6,1483.1587
6,6,2464.1277
6,6,45009.7221
6,6,1500.5965
6,6,24533.9946
6,6,18771.910600000003
6,6,32539.7766
6,6,18090.9303
6,6,12393.676
6,6,39542.170600000005
6,6,6207.1295
6,6,27574.138199999998
6,6,27263.0661
6,6,17695.116100000003
6,6,27972.671899999998
6,6,9720.6662
6,6,56804.539899999996
6,6,1335.1623
6,6,17503.642
6,6,31045.3492
6,6,25216.4822
6,6,1693.0744
6,6,27311.6205
6,6,67475.5654
6,6,38390.3601
6,6,951.5855
6,6,16628.488400000002
6,6,14400.1994
6,6,191857.6677
6,6,121772.37120000001
6,6,65559.538
6,6,11952.637
6,6,105091.25720000001
6,6,123680.9839
6,6,34509.944899999995
6,6,425.1771
6,6,10314.1114
6,6,44796.9179
6,6,10985.197699999999
6,6,17092.2919
6,6,3766.5008
6,6,11829.9954
6,6,5656.755700000001
6,6,10436.9155
6,6,512.6402
6,6,4692.105799999999
6,6,12723.5926
6,6,20192.6103
6,6,4570.8785
6,6,3085.2001
6,6,9660.623599999999
6,6,15318.6378
6,6,316.0145
6,6,814.4549000000001
6,6,1698.9053999999999
6,6,10812.6409
6,6,8666.156
6,6,9981.9058
6,6,1014.8233
6,6,3898.7259
6,6,10.161700000000002
6,6,1535.7053999999998
6,6,4435.6556
6,6,26581.678399999997
6,6,10083.0735
6,6,1884.1443000000002
6,6,6010.9155
6,6,4225.842
6,6,12596.7506
6,6,6030.978700000001
6,6,35782.4948
6,6,9920.363
6,6,681.0628
6,6,3900.2247
6,6,3680.0573999999997
6,6,2306.409
6,6,1045.0606
6,6,16065.7092
6,6,2298.4892
6,6,5542.891799999999
6,6,1230.9223
6,6,11116.2987
6,6,14197.595
6,6,25854.983600000003
6,6,11844.3352
6,6,2150.0951
6,6,852.4422
6,6,3802.5447000000004
6,6,1083.9102
6,6,1826.5799
6,6,10042.6743
6,6,16931.370300000002
6,6,2097.561
6,6,91.6528
6,6,2885.3012000000003
